id,created_at,variant_id,path,bot_name,user_agent,method,status,latency_ms,meta
76,2026-03-31 12:58:09.580083+00,jsonld,/test-jsonld,CommonCrawl,CCBot,HEAD,200,1,{}
77,2026-03-31 12:58:09.902387+00,jsonld,/test-jsonld,Applebot,Applebot,HEAD,200,2,{}
78,2026-03-31 12:58:10.200521+00,jsonld,/test-jsonld,Applebot,Applebot-Extended,HEAD,200,2,{}
79,2026-03-31 12:58:10.506697+00,jsonld,/test-jsonld,Meta,meta-externalagent,HEAD,200,0,{}
80,2026-03-31 12:58:10.827156+00,jsonld,/test-jsonld,Meta,Meta-ExternalAgent,HEAD,200,1,{}
81,2026-03-31 12:58:11.125631+00,jsonld,/test-jsonld,Meta,meta-externalfetcher,HEAD,200,1,{}
82,2026-03-31 12:58:11.427202+00,jsonld,/test-jsonld,Meta,meta-webindexer,HEAD,200,1,{}
83,2026-03-31 12:58:11.730629+00,jsonld,/test-jsonld,DeepSeek,DeepSeekBot,HEAD,200,1,{}
84,2026-03-31 12:58:12.24394+00,jsonld,/test-jsonld,Mistral,MistralAI-User,HEAD,200,1,{}
85,2026-03-31 12:58:12.556185+00,jsonld,/test-jsonld,DuckDuckGo,DuckAssistBot,HEAD,200,1,{}
86,2026-03-31 12:58:12.85144+00,jsonld,/test-jsonld,Brave,Bravebot,HEAD,200,1,{}
87,2026-03-31 12:58:13.162662+00,jsonld,/test-jsonld,You,YouBot,HEAD,200,1,{}
88,2026-03-31 12:58:13.487702+00,jsonld,/test-jsonld,Cohere,cohere-ai,HEAD,200,1,{}
89,2026-03-31 12:58:13.813+00,jsonld,/test-jsonld,ByteDance,Bytespider,HEAD,200,3,{}
90,2026-03-31 12:58:14.11868+00,jsonld,/test-jsonld,ByteDance,TikTokSpider,HEAD,200,2,{}
91,2026-03-31 12:58:14.417901+00,jsonld,/test-jsonld,Manus,Manus-User,HEAD,200,2,{}
92,2026-03-31 12:58:14.760716+00,jsonld,/test-jsonld,Amazon,Amazonbot,HEAD,200,1,{}
93,2026-03-31 12:58:15.242293+00,semantic,/test-semantic,ChatGPT,GPTBot,HEAD,200,1,{}
94,2026-03-31 12:58:15.541564+00,semantic,/test-semantic,ChatGPT,ChatGPT-User,HEAD,200,1,{}
95,2026-03-31 12:58:15.872803+00,semantic,/test-semantic,ChatGPT,OAI-SearchBot,HEAD,200,3,{}
96,2026-03-31 12:58:16.575825+00,semantic,/test-semantic,ChatGPT,ChatGPT Agent,HEAD,200,1,{}
97,2026-03-31 12:58:16.878596+00,semantic,/test-semantic,Claude,ClaudeBot,HEAD,200,1,{}
98,2026-03-31 12:58:17.192127+00,semantic,/test-semantic,Claude,Claude-Web,HEAD,200,0,{}
99,2026-03-31 12:58:17.491185+00,semantic,/test-semantic,Claude,Claude-User,HEAD,200,2,{}
100,2026-03-31 12:58:17.815497+00,semantic,/test-semantic,Claude,Claude-SearchBot,HEAD,200,0,{}
101,2026-03-31 12:58:18.114885+00,semantic,/test-semantic,Claude,anthropic-ai,HEAD,200,1,{}
102,2026-03-31 12:58:18.414814+00,semantic,/test-semantic,Gemini,Google-Extended,HEAD,200,1,{}
103,2026-03-31 12:58:18.724423+00,semantic,/test-semantic,Gemini,Gemini-Deep-Research,HEAD,200,1,{}
104,2026-03-31 12:58:19.036838+00,semantic,/test-semantic,Gemini,Google-NotebookLM,HEAD,200,1,{}
105,2026-03-31 12:58:19.356367+00,semantic,/test-semantic,Gemini,NotebookLM,HEAD,200,1,{}
106,2026-03-31 12:58:19.651957+00,semantic,/test-semantic,Gemini,GoogleAgent-Mariner,HEAD,200,1,{}
107,2026-03-31 12:58:19.967244+00,semantic,/test-semantic,Perplexity,PerplexityBot,HEAD,200,1,{}
108,2026-03-31 12:58:20.276976+00,semantic,/test-semantic,Perplexity,Perplexity-User,HEAD,200,1,{}
109,2026-03-31 12:58:20.586316+00,semantic,/test-semantic,CommonCrawl,CCBot,HEAD,200,1,{}
110,2026-03-31 12:58:20.894448+00,semantic,/test-semantic,Applebot,Applebot,HEAD,200,1,{}
111,2026-03-31 12:58:21.19358+00,semantic,/test-semantic,Applebot,Applebot-Extended,HEAD,200,0,{}
112,2026-03-31 12:58:21.48858+00,semantic,/test-semantic,Meta,meta-externalagent,HEAD,200,1,{}
113,2026-03-31 12:58:21.78874+00,semantic,/test-semantic,Meta,Meta-ExternalAgent,HEAD,200,1,{}
114,2026-03-31 12:58:22.090398+00,semantic,/test-semantic,Meta,meta-externalfetcher,HEAD,200,1,{}
115,2026-03-31 12:58:22.389616+00,semantic,/test-semantic,Meta,meta-webindexer,HEAD,200,1,{}
116,2026-03-31 12:58:22.703364+00,semantic,/test-semantic,DeepSeek,DeepSeekBot,HEAD,200,1,{}
117,2026-03-31 12:58:22.992476+00,semantic,/test-semantic,Mistral,MistralAI-User,HEAD,200,1,{}
118,2026-03-31 12:58:23.287931+00,semantic,/test-semantic,DuckDuckGo,DuckAssistBot,HEAD,200,2,{}
119,2026-03-31 12:58:24.59519+00,semantic,/test-semantic,Brave,Bravebot,HEAD,200,13,{}
120,2026-03-31 12:58:24.9909+00,semantic,/test-semantic,You,YouBot,HEAD,200,1,{}
121,2026-03-31 12:58:25.292393+00,semantic,/test-semantic,Cohere,cohere-ai,HEAD,200,1,{}
122,2026-03-31 12:58:25.616753+00,semantic,/test-semantic,ByteDance,Bytespider,HEAD,200,1,{}
123,2026-03-31 12:58:25.927651+00,semantic,/test-semantic,ByteDance,TikTokSpider,HEAD,200,1,{}
124,2026-03-31 12:58:26.240615+00,semantic,/test-semantic,Manus,Manus-User,HEAD,200,1,{}
125,2026-03-31 12:58:26.619012+00,semantic,/test-semantic,Amazon,Amazonbot,HEAD,200,2,{}
126,2026-03-31 12:58:27.140457+00,aria,/test-aria,ChatGPT,GPTBot,HEAD,200,1,{}
127,2026-03-31 12:58:27.430686+00,aria,/test-aria,ChatGPT,ChatGPT-User,HEAD,200,0,{}
128,2026-03-31 12:58:27.747252+00,aria,/test-aria,ChatGPT,OAI-SearchBot,HEAD,200,2,{}
129,2026-03-31 12:58:28.079711+00,aria,/test-aria,ChatGPT,ChatGPT Agent,HEAD,200,0,{}
130,2026-03-31 12:58:28.463762+00,aria,/test-aria,Claude,ClaudeBot,HEAD,200,1,{}
131,2026-03-31 12:58:28.773077+00,aria,/test-aria,Claude,Claude-Web,HEAD,200,1,{}
132,2026-03-31 12:58:29.060108+00,aria,/test-aria,Claude,Claude-User,HEAD,200,1,{}
133,2026-03-31 12:58:29.359182+00,aria,/test-aria,Claude,Claude-SearchBot,HEAD,200,1,{}
134,2026-03-31 12:58:29.667262+00,aria,/test-aria,Claude,anthropic-ai,HEAD,200,1,{}
135,2026-03-31 12:58:29.979581+00,aria,/test-aria,Gemini,Google-Extended,HEAD,200,2,{}
136,2026-03-31 12:58:30.296997+00,aria,/test-aria,Gemini,Gemini-Deep-Research,HEAD,200,2,{}
